File Name,Lines,Size KB,Classification,Destination,Sanitization Needed,Priority,Notes
ANONYMIZATION_RULES.md,287,14.70,🟢 SAFE,REFERENCE,No,LOW,Already thinking about anonymization; useful reference
AURELION_S_EXTRACTION_STRATEGY.md,251,11.49,🟢 SAFE,REFERENCE,No,LOW,Extraction strategy document; reference only
CAREER_ADVICE_6Month_Exit_Strategy.md,154,10.33,🔴 REMOVE,EXCLUDE,N/A,LOW,Personal career advice; not packageable
Chase.Key.da (1).pdf,1503,99.90,🔴 REMOVE,EXCLUDE,N/A,LOW,Personal document; not packageable
COMPLETE_SESSION_SUMMARY_JAN31_2026.md,172,9.72,🔴 REMOVE,EXCLUDE,N/A,LOW,Session history; not packageable
COMPLIANCE_CLEANSE_REPORT.md,143,6.78,🔴 REMOVE,EXCLUDE,N/A,LOW,Compliance report; not packageable
Copilot_Best_Practices.md,585,24.80,🟢 SAFE,Agent-Personal,Minimal,MEDIUM,Copilot best practices; generic
DATA_CLEANSING_AUDIT.md,107,5.45,🔴 REMOVE,EXCLUDE,N/A,LOW,Audit report; not packageable
DOCUMENTATION_COMPLETE_SUMMARY.md,218,9.19,🔴 REMOVE,EXCLUDE,N/A,LOW,Session history; not packageable
DOCUMENTATION_STRATEGY_SUMMARY.md,208,9.76,🔴 REMOVE,EXCLUDE,N/A,LOW,Session history; not packageable
ENGINE_CLEANSE_COMPLETE.md,63,2.56,🔴 REMOVE,EXCLUDE,N/A,LOW,Session history; not packageable
EXAMPLE_Spouse_Personality_Framework.md,79,4.62,🔴 REMOVE,EXCLUDE,N/A,LOW,Personal spouse framework; not packageable
EXTRACT_AURELION_FRAMEWORKS.ps1,1243,47.30,🟢 SAFE,REFERENCE,No,LOW,PowerShell script; reference for extraction
EXTRACT_AURELION_S.ps1,1340,49.51,🟢 SAFE,REFERENCE,No,LOW,PowerShell script; reference for extraction
GEN_AI_ENGINEER_GAP_ANALYSIS.md,243,14.08,🔴 REMOVE,EXCLUDE,N/A,LOW,Personal career gap analysis; not packageable
HANDOFF_SUMMARY.md,43,3.10,🔴 REMOVE,EXCLUDE,N/A,LOW,Session history; not packageable
infocard.md,220,11.09,🔴 REMOVE,EXCLUDE,N/A,LOW,Session history; not packageable
Monthly_Wins_Log.md,419,27.02,🔴 REMOVE,EXCLUDE,N/A,LOW,Personal wins log; not packageable
PERSONAL_INTEGRATION_MASTER_INDEX.md,155,8.19,🔴 REMOVE,EXCLUDE,N/A,LOW,Personal index; not packageable
PERSONAL_ONLY_PACKAGE.md,38,1.45,🔴 REMOVE,EXCLUDE,N/A,LOW,Session history; not packageable
personal_only_package.zip,2609,333.59,🔴 REMOVE,EXCLUDE,N/A,LOW,Packaged archive; not needed
PERSONALITY_FRAMEWORK_SYNTHESIS.md,166,10.65,🔴 REMOVE,EXCLUDE,N/A,LOW,Rell's personality synthesis; not packageable
Pilot_Proposal_One_Page_Blended.md,78,3.57,🔴 REMOVE,EXCLUDE,N/A,LOW,Work proposal; not packageable
Pilot_Proposal_One_Page_Business.md,61,2.04,🔴 REMOVE,EXCLUDE,N/A,LOW,Work proposal; not packageable
Pilot_Proposal_One_Page_Casual.md,42,1.38,🔴 REMOVE,EXCLUDE,N/A,LOW,Work proposal; not packageable
Pilot_Proposal_One_Page.md,68,2.71,🔴 REMOVE,EXCLUDE,N/A,LOW,Work proposal; not packageable
SESSION_COMPLETE_EVERYTHING_DOCUMENTED.md,246,10.06,🔴 REMOVE,EXCLUDE,N/A,LOW,Session history; not packageable
Session_Notes_Jan27_2026_Evening.md,161,10.42,🔴 REMOVE,EXCLUDE,N/A,LOW,Session notes; not packageable
Session_Progress_Tracker.md,591,34.60,🔴 REMOVE,EXCLUDE,N/A,LOW,Session tracker; not packageable
SESSION_SUMMARY_FEB2_2026.md,124,8.42,🔴 REMOVE,EXCLUDE,N/A,LOW,Session history; not packageable
START_HERE_DOCUMENTATION.md,218,8.76,🔴 REMOVE,EXCLUDE,N/A,LOW,Session history; not packageable
START_HERE_SECURITY_UPGRADE_JAN31.md,133,5.55,🔴 REMOVE,EXCLUDE,N/A,LOW,Session history; not packageable
YOUR_DOCUMENTATION_MAP.md,269,15.51,🔴 REMOVE,EXCLUDE,N/A,LOW,Session history; not packageable
Book_Project/ (FOLDER),39 files,594.33,🔴 EXCLUDE ENTIRELY,EXCLUDE,N/A,CRITICAL,CK's personal creative work - NEVER include
Phone/ (FOLDER),16 files,520.73,🔴 EXCLUDE ENTIRELY,EXCLUDE,N/A,MEDIUM,Personal notes - not packageable
keycd_deliverable/ (FOLDER),37 files,402.31,🔴 EXCLUDE ENTIRELY,EXCLUDE,N/A,MEDIUM,Work deliverable - not packageable
.secure/ (FOLDER),4 files,22.11,🔴 EXCLUDE ENTIRELY,EXCLUDE,N/A,CRITICAL,Secure files - confidential
00_Hub_Index.md,203,23.86,🟡 NEEDS ANONYMIZATION,Advisor-Personal,Yes,HIGH,Hub structure - remove CK's content; create blank template
16_Engine_Executive_Overview.md,370,22.35,🟢 SAFE,Advisor-Personal,Minimal,HIGH,Executive overview; mostly generic architecture
17_Engine_Onboarding_Wizard.md,418,18.03,🟢 SAFE,Advisor-Personal,Minimal,MEDIUM,Onboarding guide; generic process
