"FullName","Length","Type"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\29_UTCJDF_Mandatory_Refresh_Process.md","5044","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\30_Data_Governance_Security_Framework.md","24463","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\31_AI_Agent_Interaction_Protocol.md","21239","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\32_Compass_Personality_Framework.md","14758","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\32_Personal_Engine_Framework_Guide.md","30582","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\33_Knowledge_Submission_System.md","10173","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\34_Strategic_Response_Plan_Josefina.md","15717","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\35_RELX_Enterprise_Scaling_Strategy.md","27370","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\36_Memoria_Engine_Complete_Project_Summary.md","14658","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\36A_Memoria_Technical_Implementation.md","29326","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\36B_Memoria_Lessons_Learned_Feb2026.md","16009","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\AAI_BUILD_COMPLETE_Feb14_2026.md","10791","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\AAI_FLOOR_MAPPING.md","17707","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\AAI_KNOWLEDGE_GRAPH.json","18426","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\AAI_LIBRARY_SYSTEM.py","18886","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\AAI_MASTER_ARCHITECTURE.md","11542","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\AAI_MASTER_LEDGER.md","14496","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\AI_Context_Limitations.md","15745","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\AI_Prompt_Library.md","19274","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\ANONYMIZATION_RULES.md","15050","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\AURELION_S_EXTRACTION_STRATEGY.md","11770","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\CAREER_ADVICE_6Month_Exit_Strategy.md","10576","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Chase.Key.da (1).pdf","102293","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\COMPLETE_SESSION_SUMMARY_JAN31_2026.md","9954","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\COMPLIANCE_CLEANSE_REPORT.md","6943","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Copilot_Best_Practices.md","25394","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\DATA_CLEANSING_AUDIT.md","5581","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\DOCUMENTATION_COMPLETE_SUMMARY.md","9406","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\DOCUMENTATION_STRATEGY_SUMMARY.md","9992","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\ENGINE_CLEANSE_COMPLETE.md","2619","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\EXAMPLE_Spouse_Personality_Framework.md","4726","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\EXTRACT_AURELION_FRAMEWORKS.ps1","48440","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\EXTRACT_AURELION_S.ps1","50698","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\GEN_AI_ENGINEER_GAP_ANALYSIS.md","14414","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\HANDOFF_SUMMARY.md","3178","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\infocard.md","11352","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Monthly_Wins_Log.md","27672","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\PERSONAL_INTEGRATION_MASTER_INDEX.md","8384","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\PERSONAL_ONLY_PACKAGE.md","1486","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\personal_only_package.zip","341597","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\PERSONALITY_FRAMEWORK_SYNTHESIS.md","10905","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Pilot_Proposal_One_Page_Blended.md","3659","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Pilot_Proposal_One_Page_Business.md","2088","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Pilot_Proposal_One_Page_Casual.md","1412","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Pilot_Proposal_One_Page.md","2777","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\SESSION_COMPLETE_EVERYTHING_DOCUMENTED.md","10298","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Session_Notes_Jan27_2026_Evening.md","10675","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Session_Progress_Tracker.md","35429","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\SESSION_SUMMARY_FEB2_2026.md","8622","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\START_HERE_DOCUMENTATION.md","8970","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\START_HERE_SECURITY_UPGRADE_JAN31.md","5687","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\YOUR_DOCUMENTATION_MAP.md","15879","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\.secure\chat_history",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\.secure\decision_logs",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\.secure\drafts",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\.secure\sensitive_data",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\.secure\.gitignore","395","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\.secure\CHAT_HISTORY_GUIDE.md","8056","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\.secure\README.md","7084","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\.secure\SENSITIVE_MANIFEST.md","7101","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\00_World_Bible",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\01_CHARACTERS",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\01_Outline",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\02_Lore",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\03_Chapters",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\04_Scenes",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\05_Reference",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\07_RESEARCH",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\BREAKTHROUGH_MARAKHOR_REVELATION_Feb10_2026.md","8428","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\COMPREHENSIVE_BREAKTHROUGH_AUDIT_Feb10_2026.md","13079","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\CORRECTION_RELLS_ENDING_Feb10_2026.md","2386","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\MASTER_CHECKPOINT_COMPLETE_STONECREST.md","11296","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\PHONE_QUICK_SUMMARY_Feb10_2026.md","7551","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\SESSION_BREAKTHROUGH_Feb10_2026_COMPLETE_DOCUMENTATION.md","13298","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\SESSION_CHECKPOINT_Feb10_2026_EVENING_4BOOK_COMPLETE.md","14335","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\SESSION_CHECKPOINT_Feb9_2026_EVENING.md","7376","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\SESSION_CHECKPOINT_Feb9_EVENING_COMPLETE.md","9195","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\TRILOGY_TITLES_LOCKED.md","8481","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\00_World_Bible\20260213_Chat.md","56203","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\00_World_Bible\AERATH_EASTERN_CLUSTER_COMPLETE.md","14109","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\00_World_Bible\AERATH_Geographic_Description_for_Mapping.md","19847","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\00_World_Bible\AERATH_GEOPOLITICAL_STRATEGY_MAP.md","10146","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\00_World_Bible\ECONOMIC_FLOWS_Complete.md","34265","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\00_World_Bible\NEIGHBORING_NATIONS_Framework.md","14418","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\00_World_Bible\SERAPHINE_CORVESSA_COMPLETE.md","10947","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\00_World_Bible\STONECREST_BOOK_STRUCTURE_OUTLINE.md","9661","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\00_World_Bible\STONECREST_COMPLETE_4BOOK_STRUCTURE_LOCKED.md","17873","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\00_World_Bible\STONECREST_CORE_THEME.md","8642","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\00_World_Bible\STONECREST_NINE_HOUSES_COMPLETE.md","18686","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\00_World_Bible\WORLD_BIBLE_Master_Feb9_2026_CONSOLIDATED.md","34023","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\00_World_Bible\WORLDBUILDING_ORGANIZATION_GUIDE.md","15998","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\01_CHARACTERS\TIER_1_CHARACTER_SHEETS_Complete.md","33460","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\01_CHARACTERS\WATERHOLD_BLIND_COUNCILOR_Character_Development.md","10168","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\01_Outline\Whispers_Beneath_the_Fog_Book_Outline_20260206.md","12857","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\02_Lore\Rell_Quill_Orrin_Lore_Notes_20260206.md","4254","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\04_Scenes\Return_Village_Relief_Rell_Understanding_20260206.md","4952","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\04_Scenes\The_Patrol_Justice_Scene_20260206.md","5424","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\05_Reference\AETHERSTONE_SYSTEM_COMPLETE.md","22926","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\05_Reference\CHECKPOINT_Feb8_2026_Worldbuilding_Locked.md","19307","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\05_Reference\CHECKPOINT_Latest_Session_20260206.md","6624","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\05_Reference\houses_and_easternNations.md","49372","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\05_Reference\THE_CIRCLE_OF_TEN_WARDEN_PROFILES.md","26589","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\05_Reference\TRANSFER_TODO_From_Phone_Feb8_2026.md","10742","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\07_RESEARCH\CRITIQUE_Pointy_Hat_Framework_Analysis.md","12894","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\07_RESEARCH\FINAL_SESSION_CHECKPOINT_Feb9_2026.md","12500","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\07_RESEARCH\NEXT_STEPS_QUEUE.md","3967","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Book_Project\07_RESEARCH\SESSION_CHECKPOINT_Feb9_2026.md","12318","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\assets",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\blog",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\portfolio",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\updates",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\.gitignore","683","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\AURELION_HYBRID_LICENSING_STRATEGY.md","24389","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\AURELION_REPO_RESTRUCTURE_STRATEGY.md","25970","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\Chase_Key_AI_Engineer_Resume.md","13464","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\Chase_Key_LangChain_Application.md","18023","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\Chase_Key_Resume_Concise.md","9635","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\DATA_SECURITY_AUDIT.md","19140","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\DEPLOYMENT_GUIDE.md","13418","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\DEPLOYMENT_READY.md","10166","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\DIRECTORY_TREE.txt","1374","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\FINAL_HANDOFF_APPROVAL.md","24458","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\FRAMEWORK_EXTRACTION_PLAN.md","15704","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\HANDOFF_PACKAGE_SUMMARY.md","12037","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\infocard.md","11248","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\LICENSE","1087","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\MEMORIA_ENGINE_PUBLIC_REPO_SECURITY_CHECKLIST.md","9104","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\METHODOLOGY.md","28723","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\PACKAGE_SUMMARY.md","12580","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\PUBLIC_vs_PRIVATE_REPOS_COMPLETE_GUIDE.md","13854","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\QUICK_START.md","4311","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\README.md","9569","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\Realm_Core_Technologies.md","9900","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\RESUME_VERSIONS_README.md","13033","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\SECURITY_BEST_PRACTICES.md","16194","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\START_HERE_CK_HANDOFF_INSTRUCTIONS.md","7226","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\STRATEGIC_ADVICE_Repo_Visibility.md","24894","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\assets\diagrams",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\assets\documents",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\assets\images",,"Directory"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\assets\README.md","5018","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\assets\diagrams\.gitkeep","69","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\assets\documents\.gitkeep","69","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\assets\images\.gitkeep","69","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\blog\aviation-to-ai.md","10033","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\blog\README.md","8304","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\portfolio\memoria-engine.md","15123","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\portfolio\nc-investigation.md","12014","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\portfolio\README.md","5069","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\updates\README.md","4580","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\keycd_deliverable\updates\template.md","1436","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\1944_cia_agent_20250830.md","29189","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\aehterstone_lore.md","41363","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\Building_Mobile_Agentic_AI_Solutions_20260206.md","137606","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\Career_Advancement_StrategiesforDataAnalysts_20260129.md","30302","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\chaotic_workstyle_20251205.md","21433","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\CHECKPOINT_Latest_Session_20260206.md","3727","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\convo_1022CST_20260206.md","26327","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\DnD_Eladdrin_v1_20250701.md","2425","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\DnD_Eladdrin_v2_202050702.md","6301","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\Orrin_Patrol_Justice_Scene_20260206.md","6172","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\Porfound_life_transformation_2026.md","6382","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\Rell_Quill_Orrin_Lore_Notes_20260206.md","4885","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\societal_chaos_campaign_20250918.md","15533","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\the_wardens_and_stonecrest_worldbuilding.md","128621","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\warhammer.md","60081","File"
"C:\Users\chase\.vscode\Personal Projects\Memory_Engine\Phone\Whispers_Beneath_the_Fog_Book_Outline_20260206.md","12885","File"
